0;100;500;5000;10000;50000;100000;200000;300000;400000;500000;600000;700000;800000;900000;1000000
tri_insertion_dichotomique,;0;0;20;90;2190;8870;35300;80280;141850;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;30;100;2170;8870;35400;79230;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;90;2170;8850;35160;80240;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;30;90;2190;8840;35330;79620;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;90;2170;8900;35110;79970;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;90;2200;8900;35160;79950;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;100;2210;8940;35240;79490;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;30;80;2200;8870;35890;79370;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;30;90;2190;8790;35200;79380;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;80;2200;8770;35080;79490;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;90;2200;8810;35250;79750;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;30;90;2200;8760;36390;79460;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;90;2190;8770;37350;79590;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;90;2190;8840;43810;79770;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;30;90;2200;8830;45850;79680;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;90;2190;8770;46770;79750;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;80;2230;8840;47310;79560;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;80;2190;8820;45550;79680;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;30;90;2230;8760;44380;80500;0;0;0;0;0;0;0
tri_insertion_dichotomique,;0;0;20;90;2170;8820;43900;79520;0;0;0;0;0;0;0
